Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,Global_Sales_Log
Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,8.0,4.425205848767815
NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,7.7,3.719408659148759
Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,8.3,3.597860055726768
Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,8.0,3.5195728343974766
GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,7.8,3.477232067938153
GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,7.5,3.4423393249933305
DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,8.5,3.427514689979529
Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,6.6,3.3985271531062766
Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,8.4,3.3782698770184507
NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,7.4,3.377928754722801
DS,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,7.5,3.245322994883049
DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,8.6,3.1867657709499673
GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,7.8,3.1822118404966093
Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,7.7,3.1654750481410856
X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,6.3,3.1271990362962967
Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,7.4,3.126321843257593
PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,8.2,3.092858984284714
PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,9.0,3.0823685802135374
SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,7.7,3.0731561705187946
DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,7.9,3.051639905492287
DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,7.8,2.9575110607337933
GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,7.7,2.9517803860248084
NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,7.7,2.905807566026004
X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,8.1,2.848970892158587
