Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
DS,2005,Role-Playing,Empire Interactive,58.0,15,7.3,12,Natsume,T,2000s,Other,2.772588722239781,2.5649493574615367
XOne,2016,Action,Ubisoft,77.0,27,6.4,194,Ubisoft Montreal,M,2010s,Other,3.332204510175204,5.272999558563747
PS2,2000,Shooter,Infogrames,77.0,23,6.8,13,Epic Games,M,2000s,Other,3.1780538303479458,2.639057329615259
PSP,2008,Sports,Sony Computer Entertainment,79.0,9,7.4,7,SCEA San Diego Studios,E,2000s,Other,2.302585092994046,2.079441541679836
Wii,2009,Misc,Activision,87.0,22,7.6,19,Exient Entertainment,T,2000s,Other,3.1354942159291497,2.995732273553991
GBA,2004,Platform,Capcom,77.0,21,9.0,22,Inti,E,2000s,Other,3.091042453358316,3.1354942159291497
PS2,2001,Racing,Activision,57.0,15,7.6,9,Exakt,E,2000s,Other,2.772588722239781,2.302585092994046
Wii,2010,Platform,Nintendo,97.0,87,9.1,1854,Nintendo EAD Tokyo,E,2010s,Mario,4.477336814478207,7.525639975041535
PSP,2006,Action,LucasArts,83.0,11,8.6,26,Traveller's Tales,E10+,2000s,Other,2.4849066497880004,3.295836866004329
PS2,2004,Role-Playing,Capcom,69.0,27,7.1,18,"Valuewave Co.,Ltd.",E,2000s,Other,3.332204510175204,2.9444389791664403
DS,2008,Role-Playing,Konami Digital Entertainment,69.0,13,7.6,9,Konami,E10+,2000s,Other,2.639057329615259,2.302585092994046
DS,2008,Sports,Electronic Arts,84.0,5,6.1,31,EA Canada,E,2000s,FIFA,1.791759469228055,3.4657359027997265
DS,2005,Shooter,Majesco Entertainment,71.0,43,7.7,19,Shin'en,E,2000s,Other,3.784189633918261,2.995732273553991
XB,2005,Racing,Take-Two Interactive,84.0,53,7.4,40,Rockstar San Diego,E10+,2000s,Other,3.9889840465642745,3.713572066704308
Wii,2010,Action,Nintendo,48.0,26,6.8,13,Artoon,E,2010s,Other,3.295836866004329,2.639057329615259
Wii,2007,Strategy,LucasArts,70.0,14,2.8,40,Frontier Developments,E10+,2000s,Other,2.70805020110221,3.713572066704308
GBA,2002,Racing,THQ,74.0,14,7.5,27,MTO,E,2000s,Other,2.70805020110221,3.332204510175204
WiiU,2012,Action,Ubisoft,76.0,8,6.3,16,Blue Byte,E10+,2010s,Other,2.19722457733622,2.833213344056216
PS2,2002,Sports,Sony Computer Entertainment,53.0,19,7.5,27,989 Sports,E,2000s,Other,2.995732273553991,3.332204510175204
XB,2004,Misc,XS Games,68.0,11,8.5,6,Iridon Interactive AB,E,2000s,Other,2.4849066497880004,1.9459101490553128
Wii,2009,Sports,Zoo Digital Publishing,28.0,5,7.5,27,Mid Carolina Media,T,2000s,Other,1.791759469228055,3.332204510175204
PSP,2007,Fighting,THQ,68.0,11,7.8,15,Yuke's,T,2000s,Other,2.4849066497880004,2.772588722239781
GC,2005,Shooter,Electronic Arts,82.0,32,9.1,41,Free Radical Design,M,2000s,Other,3.49650756146648,3.737669618283368
GBA,2001,Role-Playing,Hudson Entertainment,68.0,6,7.5,27,Red 5 Software,E,2000s,Other,1.9459101490553128,3.332204510175204
PS2,2002,Sports,Activision,76.0,22,9.1,7,Rainbow Studios,T,2000s,Other,3.1354942159291497,2.079441541679836
3DS,2015,Misc,Sega,80.0,32,8.5,71,Sega,E10+,2010s,Other,3.49650756146648,4.276666119016055
PS3,2011,Action,Disney Interactive Studios,63.0,13,6.6,9,High Impact Games,E10+,2010s,Other,2.639057329615259,2.302585092994046
PSP,2010,Role-Playing,Atlus,75.0,10,7.7,7,Sting,T,2010s,Other,2.3978952727983707,2.079441541679836
GBA,2002,Puzzle,Vivendi Games,75.0,10,7.5,27,Hudson,E,2000s,Other,2.3978952727983707,3.332204510175204
PS3,2013,Shooter,Activision,71.0,10,2.6,1047,Infinity Ward,M,2010s,Call of Duty,2.3978952727983707,6.954638864880987
PS3,2008,Platform,THQ,51.0,24,5.0,7,Heavy Iron Studios,E,2000s,Other,3.218875824868201,2.079441541679836
PC,2005,Racing,Atari,84.0,21,8.6,44,SimBin,E,2000s,Other,3.091042453358316,3.80666248977032
Wii,2007,Action,Vivendi Games,71.0,23,8.4,29,Radical Entertainment,M,2000s,Other,3.1780538303479458,3.4011973816621555
X360,2011,Misc,Microsoft Game Studios,73.0,33,2.9,67,Frontier Developments,E10+,2010s,Other,3.5263605246161616,4.219507705176107
XB,2002,Fighting,THQ,68.0,33,6.6,15,Anchor,T,2000s,Other,3.5263605246161616,2.772588722239781
PSP,2006,Action,Capcom,74.0,34,6.8,6,Capcom,T,2000s,Other,3.555348061489413,1.9459101490553128
PS,1998,Simulation,Sony Computer Entertainment,83.0,6,7.5,27,Tecmo,E,1990s,Other,1.9459101490553128,3.332204510175204
X360,2012,Role-Playing,Deep Silver,60.0,18,6.0,58,Piranha Bytes,M,2010s,Other,2.9444389791664403,4.07753744390572
PSP,2006,Strategy,Sony Online Entertainment,77.0,53,7.8,31,"Sony Online Entertainment, Mind Control Software",T,2000s,Other,3.9889840465642745,3.4657359027997265
PS4,2016,Sports,Avanquest,31.0,22,4.5,66,"The Digital Lounge, Dino Dini",Unknown,2010s,Other,3.1354942159291497,4.204692619390966
Wii,2009,Misc,Activision,50.0,12,5.2,6,Neversoft Entertainment,T,2000s,Other,2.5649493574615367,1.9459101490553128
PS2,2003,Simulation,Namco Bandai Games,66.0,10,8.5,37,Bandai,T,2000s,Other,2.3978952727983707,3.6375861597263857
PS3,2007,Racing,THQ,67.0,33,6.1,8,Rainbow Studios,E,2000s,Other,3.5263605246161616,2.19722457733622
DS,2008,Strategy,THQ,78.0,28,6.9,20,Griptonite Games,E10+,2000s,Other,3.367295829986474,3.044522437723423
PS,1997,Role-Playing,SquareSoft,83.0,12,8.2,190,SquareSoft,T,1990s,Final Fantasy,2.5649493574615367,5.25227342804663
DS,2007,Adventure,Konami Digital Entertainment,59.0,19,7.5,27,Matrix Software,E10+,2000s,Other,2.995732273553991,3.332204510175204
Wii,2010,Action,THQ,49.0,6,7.5,27,THQ,E10+,2010s,Other,1.9459101490553128,3.332204510175204
Wii,2008,Racing,Zoo Games,40.0,4,7.5,27,Extra Mile Studios,E,2000s,Other,1.6094379124341005,3.332204510175204
XOne,2015,Misc,Harmonix Music Systems,79.0,27,6.4,54,Harmonix Music Systems,T,2010s,Other,3.332204510175204,4.007333185232471
PS,2000,Racing,Codemasters,90.0,13,8.7,31,Codemasters,E,2000s,Other,2.639057329615259,3.4657359027997265
DS,2006,Sports,Konami Digital Entertainment,63.0,5,7.9,12,KCET,E,2000s,Other,1.791759469228055,2.5649493574615367
PS2,2005,Sports,Electronic Arts,88.0,29,8.0,121,EA Sports,E,2000s,Madden,3.4011973816621555,4.804021044733257
PS2,2004,Shooter,Sony Computer Entertainment,70.0,67,7.4,254,Guerrilla,M,2000s,Other,4.219507705176107,5.541263545158426
PSP,2007,Racing,Deep Silver,58.0,7,5.3,6,Eutechnyx,T,2000s,Other,2.079441541679836,1.9459101490553128
PSP,2006,Strategy,THQ,70.0,22,6.6,18,Team 17,E10+,2000s,Other,3.1354942159291497,2.9444389791664403
X360,2010,Action,Ubisoft Annecy,59.0,38,7.3,23,Koei,M,2010s,Other,3.6635616461296463,3.1780538303479458
PS2,2004,Shooter,Global Star,57.0,33,7.5,27,Vicious Cycle,T,2000s,Other,3.5263605246161616,3.332204510175204
