Year_of_Release,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Franchise,Critic_Count_Log,User_Count_Log,Genre_Action,Genre_Adventure,Genre_Fighting,Genre_Misc,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,Platform_3DS,Platform_DC,Platform_DS,Platform_GBA,Platform_GC,Platform_PC,Platform_PS,Platform_PS2,Platform_PS3,Platform_PS4,Platform_PSP,Platform_PSV,Platform_Wii,Platform_WiiU,Platform_X360,Platform_XB,Platform_XOne,Rating_E,Rating_E10+,Rating_K-A,Rating_M,Rating_RP,Rating_T,Rating_Unknown,Decade_1990s,Decade_2000s,Decade_2010s
2005,69,58.0,15,7.3,12,842,6,2.772588722239781,2.5649493574615367,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016,273,77.0,27,6.4,194,1333,6,3.332204510175204,5.272999558563747,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
2000,123,77.0,23,6.8,13,421,6,3.1780538303479458,2.639057329615259,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2008,231,79.0,9,7.4,7,1078,6,2.302585092994046,2.079441541679836,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2009,11,87.0,22,7.6,19,438,6,3.1354942159291497,2.995732273553991,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2004,41,77.0,21,9.0,22,633,6,3.091042453358316,3.1354942159291497,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2001,11,57.0,15,7.6,9,435,6,2.772588722239781,2.302585092994046,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2010,185,97.0,87,9.1,1854,873,5,4.477336814478207,7.525639975041535,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2006,149,83.0,11,8.6,26,1304,6,2.4849066497880004,3.295836866004329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2004,41,69.0,27,7.1,18,1360,6,3.332204510175204,2.9444389791664403,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2008,140,69.0,13,7.6,9,698,6,2.639057329615259,2.302585092994046,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2008,68,84.0,5,6.1,31,368,1,1.791759469228055,3.4657359027997265,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2005,153,71.0,43,7.7,19,1126,6,3.784189633918261,2.995732273553991,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2005,258,84.0,53,7.4,40,1052,6,3.9889840465642745,3.713572066704308,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
2010,185,48.0,26,6.8,13,95,6,3.295836866004329,2.639057329615259,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2007,149,70.0,14,2.8,40,473,6,2.70805020110221,3.713572066704308,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2002,255,74.0,14,7.5,27,747,6,2.70805020110221,3.332204510175204,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2012,273,76.0,8,6.3,16,185,6,2.19722457733622,2.833213344056216,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
2002,231,53.0,19,7.5,27,31,6,2.995732273553991,3.332204510175204,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2004,290,68.0,11,8.5,6,641,6,2.4849066497880004,1.9459101490553128,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
2009,296,28.0,5,7.5,27,796,6,1.791759469228055,3.332204510175204,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2007,255,68.0,11,7.8,15,1420,6,2.4849066497880004,2.772588722239781,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2005,68,82.0,32,9.1,41,466,6,3.49650756146648,3.737669618283368,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2001,114,68.0,6,7.5,27,1025,6,1.9459101490553128,3.332204510175204,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2002,11,76.0,22,9.1,7,1005,6,3.1354942159291497,2.079441541679836,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2015,228,80.0,32,8.5,71,1110,6,3.49650756146648,4.276666119016055,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2011,62,63.0,13,6.6,9,563,6,2.639057329615259,2.302585092994046,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2010,26,75.0,10,7.7,7,1194,6,2.3978952727983707,2.079441541679836,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2002,285,75.0,10,7.5,27,578,6,2.3978952727983707,3.332204510175204,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2013,11,71.0,10,2.6,1047,620,0,2.3978952727983707,6.954638864880987,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2008,255,51.0,24,5.0,7,557,6,3.218875824868201,2.079441541679836,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2005,25,84.0,21,8.6,44,1133,6,3.091042453358316,3.80666248977032,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2007,285,71.0,23,8.4,29,1002,6,3.1780538303479458,3.4011973816621555,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2011,166,73.0,33,2.9,67,473,6,3.5263605246161616,4.219507705176107,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2002,255,68.0,33,6.6,15,67,6,3.5263605246161616,2.772588722239781,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
2006,41,74.0,34,6.8,6,230,6,3.555348061489413,1.9459101490553128,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1998,231,83.0,6,7.5,27,1262,6,1.9459101490553128,3.332204510175204,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2012,58,60.0,18,6.0,58,951,6,2.9444389791664403,4.07753744390572,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2006,234,77.0,53,7.8,31,1160,6,3.9889840465642745,3.4657359027997265,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016,28,31.0,22,4.5,66,1279,6,3.1354942159291497,4.204692619390966,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2009,11,50.0,12,5.2,6,856,6,2.5649493574615367,1.9459101490553128,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2003,180,66.0,10,8.5,37,129,6,2.3978952727983707,3.6375861597263857,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2007,255,67.0,33,6.1,8,1005,6,3.5263605246161616,2.19722457733622,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2008,255,78.0,28,6.9,20,531,6,3.367295829986474,3.044522437723423,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1997,241,83.0,12,8.2,190,1183,2,2.5649493574615367,5.25227342804663,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2007,140,59.0,19,7.5,27,770,6,2.995732273553991,3.332204510175204,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
