Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
15,2003,11,19,0.08,0.07,0.0,0.02,68.0,21.0,8.7,14.0,7,77.5
4,2005,5,0,0.08,0.02,0.0,0.01,75.0,14.0,7.0,6.0,1,72.5
7,2006,9,10,0.21,0.05,0.0,0.01,66.0,15.0,7.3,8.0,7,69.5
25,2008,6,19,0.06,0.39,0.0,0.01,37.0,5.0,6.3,4.0,1,50.0
18,2010,3,19,0.0,0.0,0.07,0.0,71.0,22.0,7.5,24.0,8,73.0
12,2009,7,19,0.0,0.06,0.0,0.01,83.0,57.0,8.0,794.0,7,81.5
16,2011,0,25,0.0,0.0,0.14,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2009,3,19,0.02,0.0,0.0,0.0,71.0,22.0,7.5,24.0,1,73.0
27,2009,10,24,0.06,0.0,0.0,0.01,47.0,13.0,4.6,10.0,1,46.5
9,1999,10,19,0.09,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2010,6,8,0.32,0.23,0.0,0.06,82.0,78.0,8.1,101.0,2,81.5
27,2014,7,14,0.25,0.15,0.01,0.04,71.0,22.0,7.5,24.0,8,73.0
4,2010,9,26,0.07,0.0,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
16,2010,7,19,1.52,1.03,0.1,0.46,82.0,57.0,7.8,492.0,5,80.0
4,2006,9,12,0.0,0.0,0.11,0.0,71.0,22.0,7.5,24.0,8,73.0
7,2002,8,19,0.2,0.05,0.0,0.01,67.0,20.0,7.6,16.0,7,71.5
15,2005,6,21,0.03,0.02,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
27,2008,6,10,0.63,0.57,0.01,0.14,88.0,68.0,6.9,279.0,2,78.5
2,2013,7,19,0.0,0.0,0.06,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2001,7,26,0.04,0.03,0.0,0.01,70.0,14.0,7.5,6.0,7,72.5
12,2010,9,19,0.0,0.03,0.0,0.0,64.0,7.0,7.5,18.0,7,69.5
25,2008,2,16,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2010,3,19,2.15,0.76,0.01,0.26,82.0,63.0,7.6,85.0,7,79.0
4,2007,1,23,0.03,0.0,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
14,2000,10,21,0.09,0.06,0.0,0.01,55.0,7.0,7.5,24.0,1,65.0
16,2011,0,22,0.27,0.46,0.0,0.15,78.0,37.0,8.1,60.0,7,79.5
15,2008,1,23,0.12,0.09,0.0,0.03,71.0,22.0,7.5,24.0,8,73.0
12,2007,6,5,0.0,0.02,0.0,0.0,84.0,20.0,7.3,91.0,1,78.5
15,2004,10,20,2.15,0.12,0.0,0.36,90.0,37.0,8.2,84.0,1,86.0
15,2002,0,19,0.22,0.17,0.0,0.06,46.0,5.0,6.8,5.0,1,57.0
16,2013,0,29,1.07,0.8,0.04,0.38,76.0,46.0,7.7,668.0,7,76.5
15,2003,3,8,0.12,0.1,0.0,0.03,56.0,6.0,7.5,24.0,1,65.5
28,2002,10,10,0.39,0.11,0.0,0.02,90.0,14.0,8.2,15.0,1,86.0
27,2010,10,2,0.09,0.0,0.0,0.01,55.0,4.0,7.5,24.0,1,65.0
10,1988,6,17,1.47,0.38,0.19,0.1,71.0,22.0,7.5,24.0,8,73.0
15,2001,1,26,0.27,0.21,0.0,0.07,68.0,19.0,6.7,12.0,7,67.5
28,2005,0,26,0.05,0.01,0.0,0.0,71.0,41.0,7.6,20.0,5,73.5
12,1994,11,2,0.89,1.08,0.0,0.11,71.0,22.0,7.5,24.0,8,73.0
28,2005,2,3,0.18,0.05,0.0,0.01,51.0,11.0,6.1,8.0,7,56.0
27,2011,0,10,0.19,0.11,0.0,0.03,44.0,31.0,5.4,24.0,7,49.0
28,2006,8,9,0.12,0.04,0.0,0.01,41.0,20.0,7.2,13.0,5,56.5
6,2001,11,17,0.0,0.0,0.1,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2008,1,19,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
29,2014,0,0,0.0,0.04,0.0,0.0,84.0,5.0,7.7,29.0,7,80.5
2,2014,5,20,0.0,0.0,0.11,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2012,8,19,0.07,0.06,0.0,0.02,75.0,29.0,6.5,106.0,5,70.0
2,2011,7,17,0.46,0.29,1.96,0.07,71.0,22.0,7.5,24.0,8,73.0
16,2010,6,8,0.31,0.3,0.01,0.11,71.0,22.0,7.5,24.0,8,73.0
4,2007,1,12,0.01,0.01,0.05,0.0,58.0,29.0,7.5,24.0,2,66.5
18,2006,10,10,0.1,0.0,0.0,0.01,72.0,15.0,7.3,8.0,1,72.5
15,2002,0,19,0.59,0.46,0.0,0.15,59.0,19.0,5.1,20.0,7,55.0
0,1981,4,19,1.36,0.08,0.0,0.02,71.0,22.0,7.5,24.0,8,73.0
4,2008,2,23,0.14,0.02,0.0,0.01,58.0,15.0,7.8,6.0,7,68.0
4,2010,3,17,0.0,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
27,2007,0,19,1.53,0.81,0.0,0.24,80.0,24.0,7.4,114.0,2,77.0
27,2006,10,19,0.13,0.0,0.0,0.01,53.0,4.0,5.0,8.0,7,51.5
27,2010,3,2,0.47,0.31,0.0,0.08,72.0,65.0,6.5,51.0,7,68.5
16,2014,7,26,0.43,0.34,0.0,0.16,85.0,31.0,8.5,575.0,5,85.0
6,2004,6,16,0.09,0.03,0.0,0.0,62.0,10.0,7.5,24.0,1,68.5
15,2001,3,21,0.09,0.07,0.0,0.02,83.0,26.0,9.0,29.0,1,86.5
