Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
Wii,2006,Sports,Nintendo,82.53,76.0,51,8.0,322,Nintendo,E,2000s,Wii Sports,3.9512437185814275,5.777652323222656
Wii,2008,Racing,Nintendo,35.52,82.0,73,8.3,709,Nintendo,E,2000s,Mario,4.304065093204169,6.565264970035361
Wii,2009,Sports,Nintendo,32.77,80.0,73,8.0,192,Nintendo,E,2000s,Wii Sports,4.304065093204169,5.262690188904886
DS,2006,Platform,Nintendo,29.8,89.0,65,8.5,431,Nintendo,E,2000s,Mario,4.189654742026425,6.068425588244111
Wii,2006,Misc,Nintendo,28.92,58.0,41,6.6,129,Nintendo,E,2000s,Other,3.7376696182833684,4.867534450455582
Wii,2009,Platform,Nintendo,28.32,87.0,80,8.4,594,Nintendo,E,2000s,Mario,4.394449154672439,6.38856140554563
DS,2005,Racing,Nintendo,23.21,91.0,64,8.6,464,Nintendo,E,2000s,Mario,4.174387269895637,6.142037405587356
Wii,2007,Sports,Nintendo,22.7,80.0,63,7.7,146,Nintendo,E,2000s,Other,4.1588830833596715,4.990432586778736
X360,2010,Misc,Microsoft Game Studios,21.81,61.0,45,6.3,106,Good Science Studio,E,2010s,Other,3.828641396489095,4.672828834461906
Wii,2009,Sports,Nintendo,21.79,80.0,33,7.4,52,Nintendo,E,2000s,Other,3.5263605246161616,3.970291913552122
PS3,2013,Action,Take-Two Interactive,21.04,97.0,50,8.2,3994,Rockstar North,M,2010s,Grand Theft Auto,3.9318256327243257,8.292798858200374
PS2,2004,Action,Take-Two Interactive,20.81,95.0,80,9.0,1588,Rockstar North,M,2000s,Grand Theft Auto,4.394449154672439,7.370860166536716
DS,2005,Misc,Nintendo,20.15,77.0,58,7.9,50,Nintendo,E,2000s,Other,4.07753744390572,3.9318256327243257
X360,2013,Action,Take-Two Interactive,16.27,97.0,58,8.1,3711,Rockstar North,M,2010s,Grand Theft Auto,4.07753744390572,8.21932609390609
PS2,2002,Action,Take-Two Interactive,16.15,95.0,62,8.7,730,Rockstar North,M,2000s,Grand Theft Auto,4.143134726391533,6.594413459749778
DS,2005,Puzzle,Nintendo,15.29,77.0,37,7.1,19,Nintendo,E,2000s,Other,3.6375861597263857,2.995732273553991
PS2,2001,Racing,Sony Computer Entertainment,14.98,95.0,54,8.4,314,Polyphony Digital,E,2000s,Other,4.007333185232471,5.752572638825633
X360,2011,Shooter,Activision,14.73,88.0,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M,2010s,Call of Duty,4.406719247264253,9.072686206677387
X360,2010,Shooter,Activision,14.61,87.0,89,6.3,1454,Treyarch,M,2010s,Call of Duty,4.499809670330265,7.282761179605593
PS3,2012,Shooter,Activision,13.79,83.0,21,5.3,922,Treyarch,M,2010s,Call of Duty,3.091042453358316,6.827629234502852
X360,2012,Shooter,Activision,13.67,83.0,73,4.8,2256,Treyarch,M,2010s,Call of Duty,4.304065093204169,7.721791776817535
X360,2009,Shooter,Activision,13.47,94.0,100,6.3,2698,Infinity Ward,M,2000s,Call of Duty,4.61512051684126,7.900636613018005
PS3,2011,Shooter,Activision,13.32,88.0,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M,2010s,Call of Duty,3.6888794541139363,8.563122123304638
PS2,2001,Action,Take-Two Interactive,13.1,97.0,56,8.5,664,DMA Design,M,2000s,Grand Theft Auto,4.04305126783455,6.499787040655854
Wii,2008,Fighting,Nintendo,12.84,93.0,81,8.9,1662,Game Arts,T,2000s,Other,4.406719247264253,7.416378479192928
3DS,2011,Racing,Nintendo,12.66,85.0,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E,2010s,Mario,4.304065093204169,6.450470422144176
PS3,2010,Shooter,Activision,12.63,88.0,58,6.4,1094,Treyarch,M,2010s,Call of Duty,4.07753744390572,6.9985096422506015
PS4,2014,Action,Take-Two Interactive,12.61,97.0,66,8.3,2899,Rockstar North,M,2010s,Grand Theft Auto,4.204692619390966,7.9724660159745655
DS,2005,Simulation,Nintendo,12.13,86.0,57,8.7,242,Nintendo,E,2000s,Other,4.060443010546419,5.493061443340548
X360,2007,Shooter,Microsoft Game Studios,12.12,94.0,86,7.8,4100,"Bungie Software, Bungie",M,2000s,Other,4.465908118654584,8.31898612539206
PS2,2004,Racing,Sony Computer Entertainment,11.66,89.0,74,8.5,272,Polyphony Digital,E,2000s,Other,4.31748811353631,5.60947179518496
Wii,2007,Platform,Nintendo,11.35,97.0,73,8.9,2147,Nintendo,E,2000s,Mario,4.304065093204169,7.672292455628756
X360,2008,Action,Take-Two Interactive,11.01,98.0,86,7.9,2951,Rockstar North,M,2000s,Grand Theft Auto,4.465908118654584,7.990238185720363
PS,1997,Racing,Sony Computer Entertainment,10.95,96.0,16,8.7,138,Polyphony Digital,E,1990s,Other,2.833213344056216,4.9344739331306915
3DS,2011,Platform,Nintendo,10.81,90.0,82,8.4,921,Nintendo,E,2010s,Mario,4.418840607796598,6.826545223556594
PS3,2010,Racing,Sony Computer Entertainment,10.7,84.0,82,7.5,1112,Polyphony Digital,E,2010s,Other,4.418840607796598,7.014814351275545
PS3,2009,Shooter,Activision,10.6,94.0,67,6.3,2073,Infinity Ward,M,2000s,Call of Duty,4.219507705176107,7.637234388789473
PS3,2008,Action,Take-Two Interactive,10.5,98.0,64,7.5,2833,Rockstar North,M,2000s,Grand Theft Auto,4.174387269895637,7.949444420250626
X360,2013,Shooter,Activision,10.25,73.0,29,2.6,2117,Infinity Ward,M,2010s,Call of Duty,3.4011973816621555,7.658227526161352
Wii,2011,Misc,Ubisoft,10.12,74.0,15,7.8,16,Ubisoft,E10+,2010s,Other,2.772588722239781,2.833213344056216
3DS,2012,Platform,Nintendo,9.9,78.0,70,7.2,424,Nintendo,E,2010s,Mario,4.2626798770413155,6.052089168924417
