iter	RMSE
0	1.990981262
1	1.961836038
2	1.937228804
3	1.905691242
4	1.872616773
5	1.843934391
6	1.821381489
7	1.802927395
8	1.794612368
9	1.76495685
10	1.753479618
11	1.745689182
12	1.719044107
13	1.707846886
14	1.682473647
15	1.679386453
16	1.671617787
17	1.667339535
18	1.650836846
19	1.64452245
20	1.642245986
21	1.633530252
22	1.627038668
23	1.61219871
24	1.592678182
25	1.574620039
26	1.573514192
27	1.565732337
28	1.557904953
29	1.553905232
30	1.538824143
31	1.530404934
32	1.520839311
33	1.512096469
34	1.501715447
35	1.497252477
36	1.482398577
37	1.477713516
38	1.474946689
39	1.47366027
40	1.461770725
41	1.457216851
42	1.453709284
43	1.445699012
44	1.426419593
45	1.421607334
46	1.410213285
47	1.401312525
48	1.38467135
49	1.375607967
50	1.366509176
51	1.360284835
52	1.349442866
53	1.341376312
54	1.338456312
55	1.330023006
56	1.319355617
57	1.318222797
58	1.31182368
59	1.305099449
60	1.29983792
61	1.296802769
62	1.285893597
63	1.281542214
64	1.27216054
65	1.263345887
66	1.261630936
67	1.257649357
68	1.255729762
69	1.251816922
70	1.250241598
71	1.250024444
72	1.241697352
73	1.235073404
74	1.23256683
75	1.220733725
76	1.211362392
77	1.209725904
78	1.201596346
79	1.198118491
80	1.196101868
81	1.190624119
82	1.18834996
83	1.179123104
84	1.166803823
85	1.165919617
86	1.157708721
87	1.149050814
88	1.14572381
89	1.137404058
90	1.135191801
91	1.132545611
92	1.132072982
93	1.131029834
94	1.130787658
95	1.126907739
96	1.124452307
97	1.124170614
98	1.113736499
99	1.102311509
100	1.094525558
101	1.092502057
102	1.092436841
103	1.091968181
104	1.086087475
105	1.084959097
106	1.08253588
107	1.082444772
108	1.077190519
109	1.077006703
110	1.068667493
111	1.068564244
112	1.068435157
113	1.06485366
114	1.060418987
115	1.059326786
116	1.059217909
117	1.056855939
118	1.056770772
119	1.054061626
120	1.053531333
121	1.051929748
122	1.051831881
123	1.051744043
124	1.050204166
125	1.046058959
126	1.043101548
127	1.040975174
128	1.033661348
129	1.033603691
130	1.031342201
131	1.030132086
132	1.029969743
133	1.022720207
134	1.021742231
135	1.020408332
136	1.013391522
137	1.010275959
138	1.002959363
139	0.9973968867
140	0.9918721436
141	0.9865927111
142	0.9848073157
143	0.9841842125
144	0.9798210182
145	0.9788716739
146	0.9788436413
147	0.9772080087
148	0.9764093682
149	0.9739787736
150	0.9734270404
151	0.9722190541
152	0.9710397678
153	0.9663583455
154	0.9652645699
155	0.9645334883
156	0.9585140175
157	0.9554092142
158	0.9513524614
159	0.9513151864
160	0.9502455957
161	0.949862251
162	0.9486174186
163	0.9476501924
164	0.9476105702
165	0.9466430856
166	0.9411349789
167	0.9381952019
168	0.9380478105
169	0.9380174566
170	0.9373348566
171	0.9354990745
172	0.9345748674
173	0.9328614732
174	0.9284220542
175	0.9266497869
176	0.9227170038
177	0.9154109117
178	0.9125735752
179	0.9102048772
180	0.9101762472
181	0.9061679383
182	0.9001139779
183	0.9000875746
184	0.8955115513
185	0.8949027356
186	0.8944042119
187	0.8940539346
188	0.8924948307
189	0.8909540002
190	0.8907915171
191	0.8901472275
192	0.8867779977
193	0.8867560379
194	0.8853434195
195	0.8851795997
196	0.8834376607
197	0.8828210988
198	0.8818544959
199	0.8804729344
200	0.87966755
201	0.8776314076
202	0.8772461706
203	0.8754033283
204	0.8724715134
205	0.8719910459
206	0.8706936431
207	0.869984762
208	0.8687944851
209	0.8669934967
210	0.8650602625
211	0.8632241808
212	0.862497781
213	0.8616953585
214	0.8614456834
215	0.8592272727
216	0.8540815912
217	0.8529259761
218	0.8515741589
219	0.8503420722
220	0.8490322402
221	0.8482126041
222	0.8475512048
223	0.8466682961
224	0.8454370093
225	0.8453132664
226	0.8410442039
227	0.8400399013
228	0.8398449322
229	0.8386858287
230	0.8380517279
231	0.8367534818
232	0.8353480164
233	0.8343047439
234	0.833025852
235	0.8316147677
236	0.8312924674
237	0.8287727332
238	0.8269756252
239	0.8228120797
240	0.8221861999
241	0.8211886126
242	0.8189348875
243	0.8186501265
244	0.8146035692
245	0.8143630937
246	0.8138730514
247	0.8128375672
248	0.8126023559
249	0.8124946982
250	0.8108097122
251	0.8106027311
252	0.8086342394
253	0.8085602078
254	0.8084554597
255	0.8077420008
256	0.8059254948
257	0.8045135094
258	0.8040895231
259	0.8023761665
260	0.8022887123
261	0.8003142093
262	0.7998148857
263	0.7990235967
264	0.7981555173
265	0.7980452599
266	0.7977480714
267	0.7976920757
268	0.7968015192
269	0.7943964334
270	0.7943477906
271	0.7925817583
272	0.7925591257
273	0.7892494864
274	0.7869844866
275	0.7865552434
276	0.7864768264
277	0.7863496188
278	0.7863080681
279	0.7861879206
280	0.7861484818
281	0.786112349
282	0.7851967736
283	0.7837622411
284	0.7825629515
285	0.781206063
286	0.7803996502
287	0.7789077605
288	0.7775911124
289	0.7763500769
290	0.7751075268
291	0.7743180236
292	0.7731534377
293	0.7731220712
294	0.7705557924
295	0.7699869464
296	0.7693309186
297	0.7666496618
298	0.7654513432
299	0.7650792566
300	0.7628261075
301	0.7627567494
302	0.7624914652
303	0.7603830466
304	0.7587897034
305	0.7574609333
306	0.7565469896
307	0.7553096844
308	0.7547970816
309	0.7542932384
310	0.7533931515
311	0.7524501679
312	0.7494610674
313	0.7490160841
314	0.7478438525
315	0.7463113691
316	0.7446372441
317	0.7438926476
318	0.7425686416
319	0.7423614983
320	0.7416380635
321	0.7406001015
322	0.7393350254
323	0.7392173425
324	0.7376628909
325	0.7376285442
326	0.7369113079
327	0.7365067934
328	0.735086437
329	0.7342045705
330	0.7338972879
331	0.7324067471
332	0.7323988291
333	0.7319882809
334	0.7291954869
335	0.729015666
336	0.7282695978
337	0.7282305865
338	0.7275654022
339	0.7258917654
340	0.7255013117
341	0.725303663
342	0.7251274884
343	0.7234102363
344	0.7231195305
345	0.722471705
346	0.7210308139
347	0.7193233249
348	0.7190047313
349	0.7188572274
350	0.7180476764
351	0.7175080017
352	0.716702826
353	0.7148624978
354	0.7147701341
355	0.7142789312
356	0.7134947494
357	0.7121574461
358	0.7118172573
359	0.7109068291
360	0.7102295497
361	0.7095098769
362	0.7084206891
363	0.707379183
364	0.7067218471
365	0.7063250255
366	0.7060284247
367	0.7044293616
368	0.704059942
369	0.7032440407
370	0.7024151798
371	0.7018013864
372	0.7015226101
373	0.7012003028
374	0.701163897
375	0.7003933831
376	0.6990011897
377	0.6984447436
378	0.6967873561
379	0.6954970822
380	0.6947113794
381	0.6941638696
382	0.6935694721
383	0.6928965359
384	0.6920956341
385	0.6891826474
386	0.688152509
387	0.6866397349
388	0.6857956942
389	0.6853300566
390	0.6846259777
391	0.6841518485
392	0.682753205
393	0.6814277808
394	0.6806435567
395	0.6790226371
396	0.6784028395
397	0.6773399914
398	0.6767291975
399	0.6758863003
400	0.6754471647
401	0.6752748219
402	0.6747432394
403	0.6727472918
404	0.6721698411
405	0.6715703541
406	0.6713893098
407	0.6708280379
408	0.6704896636
409	0.6688899504
410	0.668695865
411	0.6685824599
412	0.6683159325
413	0.6676313679
414	0.6668008677
415	0.666222922
416	0.6657768275
417	0.6648301494
418	0.6641226745
419	0.6640320215
420	0.6639741735
421	0.6630276672
422	0.6628202114
423	0.662249162
424	0.6620860206
425	0.6613660706
426	0.6613653616
427	0.6609610099
428	0.6603683612
429	0.6593562018
430	0.6577055263
431	0.6568745526
432	0.6548874833
433	0.6536929597
434	0.6531454684
435	0.6526468006
436	0.6522738868
437	0.6518363292
438	0.6513999575
439	0.650197427
440	0.6499061323
441	0.6492113091
442	0.6489472448
443	0.6474852543
444	0.6470400374
445	0.6464930544
446	0.6460961727
447	0.6459334149
448	0.6457821943
449	0.6457005081
450	0.6456293401
451	0.6454227179
452	0.6453873988
453	0.6445401235
454	0.6444863638
455	0.644126154
456	0.6428280015
457	0.6426686268
458	0.6424941305
459	0.6424357507
460	0.6422891689
461	0.6422022675
462	0.6421941464
463	0.6415664643
464	0.6414508097
465	0.6413574403
466	0.6412785413
467	0.6400220415
468	0.6393756688
469	0.6386642747
470	0.6386084221
471	0.6384806175
472	0.6381914873
473	0.638096796
474	0.6377708317
475	0.636891507
476	0.6361386829
477	0.635882349
478	0.6348913887
479	0.6341356125
480	0.6321687306
481	0.630887478
482	0.6304057182
483	0.6291171082
484	0.6288997568
485	0.6288274404
486	0.6286694229
487	0.6282915661
488	0.6276190402
489	0.6274901243
490	0.6268232351
491	0.6266816634
492	0.6266035884
493	0.6260441402
494	0.6258852167
495	0.6258799184
496	0.6256207143
497	0.6254898864
498	0.6249845409
499	0.624904748
