iter	Passed	Remaining
0	33	16737
1	50	12697
2	78	12931
3	100	12523
4	122	12131
5	145	11942
6	165	11621
7	181	11191
8	205	11222
9	229	11226
10	266	11830
11	286	11663
12	313	11741
13	331	11512
14	355	11482
15	382	11563
16	428	12161
17	468	12537
18	482	12208
19	505	12133
20	529	12074
21	579	12590
22	607	12592
23	624	12380
24	661	12566
25	678	12363
26	705	12354
27	742	12517
28	768	12483
29	793	12433
30	827	12526
31	841	12307
32	853	12085
33	875	11994
34	903	12002
35	926	11943
36	945	11835
37	968	11776
38	995	11763
39	1022	11762
40	1045	11706
41	1063	11598
42	1083	11520
43	1121	11626
44	1132	11450
45	1146	11316
46	1176	11337
47	1197	11275
48	1224	11274
49	1246	11222
50	1261	11103
51	1278	11011
52	1296	10930
53	1314	10853
54	1330	10766
55	1351	10713
56	1374	10679
57	1398	10654
58	1422	10633
59	1445	10597
60	1465	10548
61	1483	10480
62	1508	10466
63	1534	10451
64	1559	10434
65	1578	10379
66	1597	10323
67	1621	10299
68	1648	10297
69	1668	10249
70	1684	10177
71	1705	10140
72	1731	10129
73	1756	10110
74	1772	10041
75	1790	9989
76	1808	9937
77	1825	9873
78	1846	9838
79	1870	9822
80	1895	9803
81	1927	9823
82	1959	9843
83	1990	9859
84	2018	9852
85	2046	9853
86	2062	9792
87	2080	9741
88	2092	9664
89	2120	9662
90	2144	9639
91	2172	9633
92	2188	9578
93	2201	9510
94	2225	9488
95	2242	9438
96	2267	9419
97	2291	9401
98	2306	9343
99	2317	9271
100	2332	9212
101	2346	9154
102	2385	9193
103	2408	9171
104	2425	9125
105	2442	9077
106	2464	9050
107	2483	9014
108	2498	8963
109	2517	8926
110	2534	8882
111	2612	9049
112	2623	8983
113	2653	8983
114	2668	8933
115	2690	8907
116	2707	8862
117	2720	8808
118	2757	8827
119	2765	8756
120	2781	8713
121	2799	8675
122	2808	8607
123	2825	8567
124	2850	8551
125	2868	8514
126	2885	8475
127	2896	8418
128	2913	8377
129	2925	8326
130	2941	8286
131	2963	8262
132	2973	8206
133	2996	8184
134	3013	8148
135	3038	8131
136	3064	8121
137	3074	8065
138	3095	8039
139	3106	7989
140	3116	7935
141	3126	7881
142	3131	7818
143	3140	7764
144	3146	7704
145	3161	7664
146	3173	7621
147	3194	7597
148	3200	7539
149	3221	7516
150	3245	7501
151	3247	7434
152	3261	7396
153	3284	7379
154	3296	7336
155	3304	7285
156	3320	7253
157	3338	7225
158	3343	7170
159	3365	7151
160	3373	7102
161	3384	7062
162	3393	7015
163	3394	6955
164	3413	6930
165	3418	6878
166	3438	6856
167	3454	6827
168	3480	6816
169	3498	6791
170	3508	6749
171	3526	6724
172	3549	6709
173	3574	6696
174	3608	6701
175	3619	6663
176	3633	6631
177	3647	6597
178	3671	6583
179	3686	6553
180	3704	6528
181	3723	6505
182	3734	6468
183	3736	6417
184	3752	6388
185	3779	6381
186	3796	6354
187	3810	6323
188	3815	6279
6	6331
192	3973	6320
193	4005	6317
194	4025	6295
195	4043	6270
196	4065	6253
197	4078	6220
198	4095	6195
199	4119	6179
200	4132	6147
201	4138	6105
202	4151	6074
203	4182	6068
204	4203	6048
205	4222	6026
206	4249	6015
207	4267	5991
208	4283	5963
209	4301	5940
210	4319	5916
	6257
214	4707	6240
215	4726	6214
216	4744	6187
217	4756	6152
218	4771	6121
219	4797	6106
220	4824	6090
221	4849	6073
222	4861	6038
223	4874	6006
224	4890	5976
225	4917	5962
226	4929	5928
227	4943	5897
228	4952	5860
229	4969	5833
230	4983	5803
231	4996	5771
232	5017	5749
233	5032	5721
234	5054	5700
235	5078	5681
236	5098	5657
237	5111	5627
238	5144	5618
239	5166	5597
240	5179	5566
241	5203	5547
242	5230	5532
243	5252	5510
244	5281	5496
245	5307	5480
246	5332	5462
247	5348	5434
248	5397	5441
249	5418	5418
250	5440	5397
251	5452	5366
252	5466	5337
253	5486	5313
254	5498	5283
255	5515	5256
256	5530	5228
257	5548	5204
258	5561	5175
259	5576	5147
260	5592	5120
261	5602	5088
262	5615	5060
263	5627	5030
62	5765	5195
263	5787	5173
264	5802	5145
265	5832	5130
266	5851	5106
267	5874	5085
268	5899	5066
269	5926	5048
270	5966	5041
271	5996	5026
272	6027	5011
273	6061	5000
274	6090	4983
275	6119	4966
276	6144	4946
277	6177	4933
278	6198	4909
279	6222	4889
280	6253	4873
281	6277	4852
282	6302	4832
283	6321	4808
284	6348	4789
285	6360	4759
286	6390	4742
287	6404	4714
288	6430	4694
289	6450	4671
290	6470	4646
291	6482	4617
292	6504	4595
293	6515	4565
294	6536	4542
295	6561	4522
296	6586	4502
297	6604	4477
298	6628	4455
299	6653	4435
300	6675	4413
301	6701	4393
302	6718	4367
303	6742	4347
304	6757	4320
305	6770	4292
306	6790	4269
307	6821	4252
308	6840	4228
309	6866	4208
310	6894	4190
311	6911	4164
312	6922	4136
313	6956	4120
314	6983	4101
315	7011	4082
316	7034	4061
317	7058	4039
318	7084	4019
319	7096	3991
320	7111	3965
321	7131	3942
